Tintin
Snowy
Captain Haddock
Professor Calculus
Thomson and Thompson
Endaddine Akass
Henri Fourcart
Martine Vandezande
Ramó Nash
Ivan Ivanovitch Sakharine
The Bird brothers
Gibbons
Trickler
Cutts the butcher
Irma
