Tintin
Snowy
Captain Haddock
General Alcazar
Dawson
Mohammed Ben Kalish Ezab
Abdullah
Bab El Ehr
Oliveira da Figueira
Piotr Skut
Rastapopoulos
Dr. Müller
Allan
Bianca Castafiore
Professor Calculus
Thomson and Thompson
Nestor
Jolyon Wagg
