Tintin
Snowy
Captain Haddock
Professor Calculus
Thomson and Thompson
Bianca Castafiore
Irma
Igor Wagner
Nestor
Jolyon Wagg
Cutts the butcher
Alfredo Topolino
Krônik and Klûmsi
Colonel Sponsz
Trickler
Marshal Kûrvi-Tasch
Arturo Benedetto Giovanni Giuseppe Pietro Archangelo Alfredo Cartoffoli da Milano
