Tintin
Snowy
Captain Haddock
Professor Calculus
Thomson and Thompson
Bianca Castafiore
Irma
Igor Wagner
Nestor
Mr. Bolt
Cutts the butcher
Jolyon Wagg
Christopher Willoughby-Drupe and Marco Rizotto
