Site name,Cat No,Provenance code,X coordinate,Y coordinate,No. of Artefacts,Activity category,act_cat,Material,Material detail,Type,Sub-type,Sub-type,Description,Inscription,Inventory number, Reduced,Date,Stratigraphical info,Period,Building phase,Building phase code,Building phase reduced,Building,Finds complex,Location,Gender ,Gender code,Width (cm),Diam. (cm),Height (cm),Length (cm),Thickness (cm),Weight (g),Other measurement (cm),Fabric,Published illustration (Schönberger 1978 unless otherwise stated),Published reference (by Witz or Ulbert) and parallels
Oberstimm,W0052a,99.991050,124.44237,108.95856,1.00,cutting and sharpening,CS,Worked Stone,,Whetstones,,,Whetstone or grinding stone from Tonschieser (sedimentary rock) with fine mica sheets.,,,,,,,Period 1-2,P1_2,P1_2,7,,"Building 7, NW area (Witz 1911 - Area B)",male?,ZMa,,,,c. 3.5 ,,,Section c. 2.5 x 2.5,,,"Witz, 1911, 15 no. 52 [B13] "
Oberstimm,W0052b,99.991060,155.73762,102.70915,1.00,cutting and sharpening,CS,Worked Stone,,Whetstones,,,"Whetstone or grinding stone from ""Tonschieser"" (sedimentary rock) with fine mica sheets.  ",,,,,,,Period 1-2,P1_2,P1_2,8,,Building 8 (Witz 1911 - Area C),male?,ZMa,,,,c. 5 ,,,Section c. 2.5 x 2.5,,,"Witz, 1911, 15  no. 52 [C.1]"
Oberstimm,W0052c,99.991070,139.157268,109.458729,1.00,cutting and sharpening,CS,Worked Stone,,Whetstones,,,"Whetstone or grinding stone from"" Tonschieser"" (sedimentary rock) with fine mica sheets; remains of iron. ",,,,,,,Period 1-2,P1_2,P1_2,7_8,,Building 7-8 (Witz 1911 - Area F ),male?,ZMa,,,,c.5 ,,,Section c. 2.5 x 2.5,,,"Witz, 1911, 15  no. 52  [F.5]"
Oberstimm,W0053,99.991070,139.157268,109.458729,1.00,cutting and sharpening,CS,Worked Stone,,Whetstones,,,"Whetstone or grinding stone from alpine ""Glimmerschieser"" (original rock); with triangular section ",,,,,,,Period 1-2,P1_2,P1_2,7_8,,Building 7-8 (Witz 1911 - Area F ),male?,ZMa,,Section c. 1.2 x 1 x 2.4 ,,c.12 ,,,Section c. 1.2 x 1 x 2.4 ,,,"Witz, 1911, 16  no. 53 [F.2]"
Oberstimm,H0012,15.990010,110.29097,127.08966,1.00,cutting and sharpening,CS,Worked stone,sandstone,Whetstones,,,"Whetstone, fragment of fine grained, yellowish white sandstone. ",,"1975, 164",164,,,,Period 1b-c,P1B_C,P1,2,Finds complex 32,"Fläche 15, Pit a",male?,ZMa,,,,5,,,,,,
Oberstimm,B0524,26.990010,184.69020,80.05403,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Iron knife with straight back, blade broken, two semicircular arched, undecorated bone plates attached to handle tang with two iron rivets.  ",,"1975, 270",270,,,,Period 1b-c,P1B_C,P1,12,Finds complex 102,"Fläche 26, Pit a",male?,ZMa,max. 3.4  ,,,15.9 ; bone plate:11.5 ,,,,,Pl. 34,
Oberstimm,B0523,7.990010,135.32965,98.66427,1.00,cutting and sharpening,CS,Iron,,Knives,,,Large iron knife with undulating  back. On the partly preserved handle tang still one rivet shaft to almosten handle plates preserved.  ,,"1975, 104 ",104,,,,Period 1d,P1D,P1,7,Finds complex 63,"Fläche 7, Pit a",male?,ZMa,,,,34.4,,,,,Pl. 34,
Oberstimm,B0532,15.990050,113.82958,119.51244,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Large iron knife with slightly arched back and curved blade. long, thin handle tang, with rectangular section, in a polished bone handle. Handle inside a hollow, worked bone piece. Knob separately worked and  fitted. Handle section rounded rectangular .  ",,"1975, 168",168,,,,Period 1d,P1D,P1,7,Finds complex 64,"Fläche 15, Pit e",male?,ZMa,max. 6.6   ,,,40.7 ; blade: 27.3 ,,,,,Pl. 34,
Oberstimm,H0016,7.991040,141.13597,100.83366,1.00,cutting and sharpening,CS,Worked stone,,Whetstones,,,"Large whetstone fragment with rectangular section; fine grained, beige-greenish sandstone. ",,"1975, 103",103,,beneath Planum l,,Period 1d-2,P1D_2,P1_2,7_8,,Fläche 7,male?,ZMa,,,,12.3,,,,,,
Oberstimm,H0014,27.991140,192.41745,83.09532,1.00,cutting and sharpening,CS,Worked stone,,Whetstones,,,"Whetstone, slightly broken at end; fine grained red sandstone, slightly micaeous.",,"1975, 293",293,,above Planum 2,,Period 1?,ZP1,ZP1,14_Street,,Fläche 27,male?,ZMa,,,,9.4,,,,,,
Oberstimm,B0521,1.021010,112.25258,86.71386,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Iron knife with undulating back, badly corroded. In the  handle tang (on rear side) two 0.4 cm long rivet shafts for almostening the handle plates. ",,"1975, 10 ",10,,upper levels,,Period 1-2?,ZP1_2,P1_2,1_street,,Fläche 1b,male?,ZMa,,,,16.2,,,,,Pl. 34,
Oberstimm,B0531,1.021010,112.25258,86.71386,1.00,cutting and sharpening,CS,Iron,,Knives,,,Fragment of a half-finished iron knife.  ,,"1975, 10",10,,upper levels,,Period 1-2?,ZP1_2,P1_2,1_street,,Fläche 1b,male?,ZMa,,,,10,,,,,Pl. 34,
Oberstimm,H0009,2.031010,130.82656,88.58111,1.00,cutting and sharpening,CS,Worked stone,sandstone,Whetstones,,,"Whetstone, fragment of fine grained, grey-white sandstone. ",,"1975, 35",35,,upper levels,Flavian,Period 1-2?,ZP1_2,P1_2,6_Street,,Fläche 2c,male?,ZMa,,,,5.2,,,,,Pl. 115,
Oberstimm,B0516,9.991030,135.21269,83.68450,1.00,cutting and sharpening,CS,Iron,,Knives,,,Iron knife fragment; knife with bent back; badly corroded. ,,"1975, 131",131,,upper levels,,Period 1-2?,ZP1_2,P1_2,6,,Fläche 9,male?,ZMa,Blade: 2   ,,,8.2,,,,,Pl. 34,
