source,target,type,weight,groups
89,32,undirected,2,06BrokenEar|23Picaros|
89,90,undirected,3,06BrokenEar|18CalculusAffair|24AlphArt|
89,23,undirected,1,06BrokenEar|
89,10,undirected,1,06BrokenEar|
89,59,undirected,2,06BrokenEar|23Picaros|
89,73,undirected,2,06BrokenEar|23Picaros|
89,80,undirected,2,06BrokenEar|23Picaros|
89,64,undirected,1,06BrokenEar|
76,05,undirected,1,06BrokenEar|
76,31,undirected,4,06BrokenEar|13SevenCrystalBalls|19RedSeaSharks|23Picaros|
76,32,undirected,2,06BrokenEar|23Picaros|
76,90,undirected,3,06BrokenEar|18CalculusAffair|24AlphArt|
76,23,undirected,1,06BrokenEar|
76,10,undirected,1,06BrokenEar|
76,59,undirected,2,06BrokenEar|23Picaros|
76,73,undirected,2,06BrokenEar|23Picaros|
76,80,undirected,2,06BrokenEar|23Picaros|
76,64,undirected,1,06BrokenEar|
05,31,undirected,1,06BrokenEar|
05,32,undirected,1,06BrokenEar|
05,90,undirected,1,06BrokenEar|
05,23,undirected,1,06BrokenEar|
05,10,undirected,1,06BrokenEar|
05,59,undirected,1,06BrokenEar|
05,73,undirected,1,06BrokenEar|
05,80,undirected,1,06BrokenEar|
05,88,undirected,1,06BrokenEar|
05,64,undirected,1,06BrokenEar|
31,32,undirected,2,06BrokenEar|23Picaros|
31,90,undirected,1,06BrokenEar|
31,23,undirected,1,06BrokenEar|
31,10,undirected,1,06BrokenEar|
31,59,undirected,2,06BrokenEar|23Picaros|
31,73,undirected,2,06BrokenEar|23Picaros|
31,80,undirected,2,06BrokenEar|23Picaros|
31,88,undirected,2,06BrokenEar|19RedSeaSharks|
31,64,undirected,1,06BrokenEar|
32,90,undirected,1,06BrokenEar|
32,23,undirected,1,06BrokenEar|
32,10,undirected,1,06BrokenEar|
32,59,undirected,2,06BrokenEar|23Picaros|
32,73,undirected,2,06BrokenEar|23Picaros|
32,80,undirected,2,06BrokenEar|23Picaros|
32,88,undirected,1,06BrokenEar|
32,64,undirected,1,06BrokenEar|
90,23,undirected,1,06BrokenEar|
90,10,undirected,1,06BrokenEar|
90,59,undirected,1,06BrokenEar|
90,73,undirected,1,06BrokenEar|
90,80,undirected,1,06BrokenEar|
90,88,undirected,1,06BrokenEar|
90,64,undirected,1,06BrokenEar|
23,10,undirected,1,06BrokenEar|
23,59,undirected,1,06BrokenEar|
23,73,undirected,1,06BrokenEar|
23,80,undirected,1,06BrokenEar|
23,88,undirected,1,06BrokenEar|
23,64,undirected,1,06BrokenEar|
10,59,undirected,1,06BrokenEar|
10,73,undirected,1,06BrokenEar|
10,80,undirected,1,06BrokenEar|
10,88,undirected,1,06BrokenEar|
10,64,undirected,1,06BrokenEar|
59,73,undirected,2,06BrokenEar|23Picaros|
59,80,undirected,2,06BrokenEar|23Picaros|
59,88,undirected,1,06BrokenEar|
59,64,undirected,1,06BrokenEar|
73,80,undirected,2,06BrokenEar|23Picaros|
73,88,undirected,1,06BrokenEar|
73,64,undirected,1,06BrokenEar|
80,88,undirected,1,06BrokenEar|
80,64,undirected,1,06BrokenEar|
88,64,undirected,1,06BrokenEar|
89,27,undirected,3,07BlackIsland|15LandOfBlackGold|19RedSeaSharks|
89,69,undirected,1,07BlackIsland|
89,39,undirected,1,07BlackIsland|
89,20,undirected,3,07BlackIsland|21CastafioreEmerald|23Picaros|
76,27,undirected,3,07BlackIsland|15LandOfBlackGold|19RedSeaSharks|
76,69,undirected,1,07BlackIsland|
76,39,undirected,1,07BlackIsland|
76,20,undirected,3,07BlackIsland|21CastafioreEmerald|23Picaros|
