ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
378,PaneasFP6,PanBurntSt8F8,,intact,Bowl-SmallDeep,Y,,1,7.5,,,,12.5,,,Pottery/ceramic,,clay light buff; clay light red,,7.9:6,1,FALSE,,
1773,PaneasFM42,PanBurntSt8F8,Jewellery,intact,Bracelet-Gen,Y,,1,,,,,7.3,,,Cu alloy,,other metal,,5.42,1,FALSE,,
1776,PaneasFM94,PanBurntSt8F8,,broken,Chain,Y,elongated links; length of each 7.2cm,1,,,23,,,,,Iron,,other metal,,,0,FALSE,,
392,PaneasFP20,PanBurntSt8F8,,intact,Churn,Y,,1,20,,,,18.5,5,,Pottery/ceramic,,clay buff; clay yellow,,7.10:20,1,FALSE,,
412,PaneasFP40,PanBurntSt8F8,,fragmentary,Cookware-FryingPan,Y,handle only,1,,,,,,,,Pottery/ceramic,,clay grey; clay red,,7.12:40,1,FALSE,,
410,PaneasFP38,PanBurntSt8F8,,broken,Cookware-Globular,Y,,1,17.5,,,,21.25,11.25,,Pottery/ceramic,,clay red; clay yellow; slip grey,,7.12:38,1,FALSE,,
411,PaneasFP39,PanBurntSt8F8,,intact,Cookware-Lid,Y,,1,3.75,,,,11.25,,,Pottery/ceramic,,clay light red,,7.12:39,1,FALSE,,
407,PaneasFP35,PanBurntSt8F8,,intact,Cookware-PotDeep,Y,,1,11.5,,,,13.75,7.5,,Pottery/ceramic,,clay red; clay yellow; slip pink,,7.12:35,1,FALSE,,
408,PaneasFP36,PanBurntSt8F8,,intact,Cookware-PotDeep,Y,,1,10,,,,12.5,8.5,,Pottery/ceramic,,clay light red,,7.12:36,1,FALSE,,
409,PaneasFP37,PanBurntSt8F8,,broken,Cookware-PotDeep,Y,,1,7.5,,,,22.5,12.5,,Pottery/ceramic,,clay red; clay yellow,,7.12:37,1,FALSE,,
1771,PaneasFM29,PanBurntSt8F5,Jewellery,broken,Earring,Y,,1,0.8,2,2,,,,,Gemstone; Gold,,gold,,5.29,1,FALSE,,
406,PaneasFP34,PanBurntSt8F8,,intact,Flask-Ampulla,Y,,1,8,,,,5.5,,,Pottery/ceramic,,clay light red; discolouration burning,,7.11:34,1,FALSE,,
1653,PaneasFG21,PanBurntSt8F14,,fragmentary,Flask-Gen,Y,,1,,,,,,,,,,,,9.6.22,1,FALSE,,
391,PaneasFP19,PanBurntSt8F8,,intact,Flask-Jug,Y,,1,23.5,,,,17.5,4,,Pottery/ceramic,,burnished; clay light red,,7.10:19,1,FALSE,,
399,PaneasFP27,PanBurntSt8F8,,intact,Flask-Jug,Y,,1,13.75,,,,11.25,3.75,,Pottery/ceramic,,clay red; clay yellow,,7.11:27,1,FALSE,,
413,PaneasFP41,PanBurntSt8F2,,intact,Jar-LargeBagShaped,Y,,1,42.5,,,,35,10,,Pottery/ceramic,,clay red; clay yellow,,7.13:41,1,FALSE,,
414,PaneasFP42,PanBurntSt8F8,,intact,Jar-LargeBagShaped,Y,,1,42.5,,,,33.75,10,,Pottery/ceramic,,clay red; clay yellow,,7.13:42,1,FALSE,,
415,PaneasFP43,PanBurntSt8F8,,fragmentary,Jar-LargeGen,Y,,1,12.5,,,,,8.75,,Pottery/ceramic,,clay red; clay yellow,,7.13:43,1,FALSE,,
380,PaneasFP8,PanBurntSt8F8,,intact,Jug-EvertedRim,Y,,1,15,,,,11.5,5.5,,Pottery/ceramic,,clay light red,,7.10:8,1,FALSE,,
384,PaneasFP12,PanBurntSt8F8,,broken,Jug-Gen,Y,,1,27.5,,,,12.5,,,Pottery/ceramic,,clay light red,,7.10:12,1,FALSE,,
388,PaneasFP16,PanBurntSt8F8,,broken,Jug-Gen,Y,,1,13.75,,,,10,,5,Pottery/ceramic,,clay light red; clay red; clay yellow,,7.10:16,1,FALSE,varying reddish-yellow to light red ware,
389,PaneasFP17,PanBurntSt8F13,,broken,Jug-Gen,Y,,1,18.75,,,,10,,5.5,Pottery/ceramic,,clay red; clay yellow,,7.10:17,1,FALSE,,
400,PaneasFP28,PanBurntSt8F8,,broken,Jug-Gen,Y,,1,10,,,,10,,,Pottery/ceramic,,clay light red,,7.11:28,1,FALSE,,
397,PaneasFP25,PanBurntSt8F8,,intact,Juglet-CarinatedRim,Y,,1,12.5,,,,8.75,2.5,,Pottery/ceramic,,clay grey; clay pink,,7.11:25,1,FALSE,,
393,PaneasFP21,PanBurntSt8F9,,intact,Juglet-Dipper,Y,,1,8.75,,,,7.5,5,,Pottery/ceramic,,clay pink,,7.11:21,1,FALSE,,
394,PaneasFP22,PanBurntSt8F8,,intact,Juglet-Dipper,Y,,1,8.75,,,,8,5,,Pottery/ceramic,,clay red; clay yellow; slip grey,,7.11:22,1,FALSE,,
395,PaneasFP23,PanBurntSt8F8,,intact,Juglet-Dipper,Y,,1,8.75,,,,7.5,5,,Pottery/ceramic,,clay light red,,7.11:23,1,FALSE,,
396,PaneasFP24,PanBurntSt8F2,,intact,Juglet-Dipper,Y,,1,8.75,,,,7.5,5,,Pottery/ceramic,,clay pink,,7.11:24,1,FALSE,,
398,PaneasFP26,PanBurntSt8F14,,intact,Juglet-Dipper,Y,,1,8.75,,,,7.5,5,,Pottery/ceramic,,clay pink,,7.11:26,1,FALSE,,
390,PaneasFP18,PanBurntSt8F8,,broken,Jug-Strainer,Y,,1,22.5,,,,20,5.5,,Pottery/ceramic,,clay pink,,7.10:18,1,FALSE,,
381,PaneasFP9,PanBurntSt8F8,,intact,Jug-Trefoil,Y,,1,17.5,,,,15,6.25,,Pottery/ceramic,,clay light red,,7.10:9,1,FALSE,,
382,PaneasFP10,PanBurntSt8F8,,intact,Jug-Trefoil,Y,,1,20,,,,12.5,6.25,,Pottery/ceramic,,clay light red,,7.10:10,1,FALSE,,
