Feature no,Box no,Layer no,Description,Feature files
1100,,,"Number never assigned",
1101,,,"Number never assigned",
1102,,,"Number never assigned",
1103,,,"Number never assigned",
1104,,,"Number never assigned",
1105,,,"Number never assigned",
1106,,,"Number never assigned",
1107,,,"Number never assigned",
1108,,,"Number never assigned",
1109,,,"Number never assigned",
1110,,,"Number never assigned",
1111,,,"Number never assigned",
1112,,,"Number never assigned",
1113,,,"Number never assigned",
1114,,,"Number never assigned",
1115,,,"Number never assigned",
1116,,,"Number never assigned",
1117,,,"Number never assigned",
1118,,,"Number never assigned",
1119,,,"Number never assigned",
1120,,,"Number never assigned",
1121,,,"Number never assigned",
1122,,,"Number never assigned",
1123,,,"Number never assigned",
1124,,,"Number never assigned",
1125,,,"Number never assigned",
1126,,,"Number never assigned",
1127,,,"Number never assigned",
1128,,,"Number never assigned",
1129,,,"Number never assigned",
1130,,,"Number never assigned",
1131,,,"Number never assigned",
1132,,,"Number never assigned",
1133,,,"Number never assigned",
1134,,,"Number never assigned",
1135,,,"Number never assigned",
1136,,,"Number never assigned",
1137,,,"Number never assigned",
1138,,,"Number never assigned",
1139,,,"Number never assigned",
1140,,,"Number never assigned",
1141,,,"Number never assigned",
1142,,,"Number never assigned",
1143,,,"Number never assigned",
1144,,,"Number never assigned",
1145,,,"Number never assigned",
1146,,,"Number never assigned",
1147,,,"Number never assigned",
1148,,,"Number never assigned",
1149,,,"Number never assigned",
1150,,,"Number never assigned",
1151,,,"Number never assigned",
1152,,,"Number never assigned",
1153,,,"Number never assigned",
1154,,,"Number never assigned",
1155,,,"Number never assigned",
1156,,,"Number never assigned",
1157,,,"Number never assigned",
1158,,,"Number never assigned",
1159,,,"Number never assigned",
1160,,,"Number never assigned",
1161,,,"Number never assigned",
1162,,,"Number never assigned",
1163,,,"Number never assigned",
1164,,,"Number never assigned",
1165,,,"Number never assigned",
1166,,,"Number never assigned",
1167,,,"Number never assigned",
1168,,,"Number never assigned",
1169,,,"Number never assigned",
1170,,,"Number never assigned",
1171,,,"Number never assigned",
1172,,,"Number never assigned",
1173,,,"Number never assigned",
1174,,,"Number never assigned",
1175,,,"Number never assigned",
1176,,,"Number never assigned",
1177,,,"Number never assigned",
1178,,,"Number never assigned",
1179,,,"Number never assigned",
1180,,,"Number never assigned",
1181,,,"Number never assigned",
1182,,,"Number never assigned",
1183,,,"Number never assigned",
1184,,,"Number never assigned",
1185,,,"Number never assigned",
1186,,,"Number never assigned",
1187,,,"Number never assigned",
1188,,,"Number never assigned",
1189,,,"Number never assigned",
1190,,,"Number never assigned",
1191,,,"Number never assigned",
1192,,,"Number never assigned",
1193,,,"Number never assigned",
1194,,,"Number never assigned",
1195,,,"Number never assigned",
1196,,,"Number never assigned",
1197,,,"Number never assigned",
1198,,,"Number never assigned",
1199,,,"Number never assigned",
1200,,,"Number never assigned",
1201,,,"Number never assigned",
1202,,,"Number never assigned",
1203,,,"Number never assigned",
1204,,,"Number never assigned",
1205,,,"Number never assigned",
1206,,,"Number never assigned",
1207,,,"Number never assigned",
1208,,,"Number never assigned",
1209,,,"Number never assigned",
1210,,,"Number never assigned",
1211,,,"Number never assigned",
1212,,,"Number never assigned",
1213,,,"Number never assigned",
1214,,,"Number never assigned",
1215,,,"Number never assigned",
1216,,,"Number never assigned",
1217,,,"Number never assigned",
1218,,,"Number never assigned",
1219,,,"Number never assigned",
1220,,,"Number never assigned",
1221,,,"Number never assigned",
1222,,,"Number never assigned",
1223,,,"Number never assigned",
1224,,,"Number never assigned",
1225,,,"Number never assigned",
1226,,,"Number never assigned",
1227,,,"Number never assigned",
1228,,,"Number never assigned",
1229,,,"Number never assigned",
1230,,,"Number never assigned",
1231,,,"Number never assigned",
1232,,,"Number never assigned",
1233,,,"Number never assigned",
1234,,,"Number never assigned",
1235,,,"Number never assigned",
1236,,,"Number never assigned",
1237,,,"Number never assigned",
1238,,,"Number never assigned",
1239,,,"Number never assigned",
1240,,,"Number never assigned",
1241,,,"Number never assigned",
1242,,,"Number never assigned",
1243,,,"Number never assigned",
1244,,,"Number never assigned",
1245,,,"Number never assigned",
1246,,,"Number never assigned",
1247,,,"Number never assigned",
1248,,,"Number never assigned",
1249,,,"Number never assigned",
1250,,,"Number never assigned",
1251,,,"Number never assigned",
1252,,,"Number never assigned",
1253,,,"Number never assigned",
1254,,,"Number never assigned",
1255,,,"Number never assigned",
1256,,,"Number never assigned",
1257,,,"Number never assigned",
1258,,,"Number never assigned",
1259,,,"Number never assigned",
1260,,,"Number never assigned",
1261,,,"Number never assigned",
1262,,,"Number never assigned",
1263,,,"Number never assigned",
1264,,,"Number never assigned",
1265,,,"Number never assigned",
1266,,,"Number never assigned",
1267,,,"Number never assigned",
1268,,,"Number never assigned",
1269,,,"Number never assigned",
1270,,,"Number never assigned",
1271,,,"Number never assigned",
1272,,,"Number never assigned",
1273,,,"Number never assigned",
1274,,,"Number never assigned",
1275,,,"Number never assigned",
1276,,,"Number never assigned",
1277,,,"Number never assigned",
1278,,,"Number never assigned",
1279,,,"Number never assigned",
1280,,,"Number never assigned",
1281,,,"Number never assigned",
1282,,,"Number never assigned",
1283,,,"Number never assigned",
1284,,,"Number never assigned",
1285,,,"Number never assigned",
1286,,,"Number never assigned",
1287,,,"Number never assigned",
1288,,,"Number never assigned",
1289,,,"Number never assigned",
1290,,,"Number never assigned",
1291,,,"Number never assigned",
1292,,,"Number never assigned",
1293,,,"Number never assigned",
1294,,,"Number never assigned",
1295,,,"Number never assigned",
1296,,,"Number never assigned",
1297,,,"Number never assigned",
1298,,,"Number never assigned",
1299,,,"Number never assigned",
1300,,,"Number never assigned",
1301,,,"Number never assigned",
1302,,,"Number never assigned",
1303,,,"Number never assigned",
1304,,,"Number never assigned",
1305,,,"Number never assigned",
1306,,,"Number never assigned",
1307,,,"Number never assigned",
1308,,,"Number never assigned",
1309,,,"Number never assigned",
1310,,,"Number never assigned",
1311,,,"Number never assigned",
1312,,,"Number never assigned",
1313,,,"Number never assigned",
1314,,,"Number never assigned",
1315,,,"Number never assigned",
1316,,,"Number never assigned",
1317,,,"Number never assigned",
1318,,,"Number never assigned",
1319,,,"Number never assigned",
1320,,,"Number never assigned",
1321,,,"Number never assigned",
1322,,,"Number never assigned",
1323,,,"Number never assigned",
1324,,,"Number never assigned",
1325,,,"Number never assigned",
1326,,,"Number never assigned",
1327,,,"Number never assigned",
1328,,,"Number never assigned",
1329,,,"Number never assigned",
1330,,,"Number never assigned",
1331,,,"Number never assigned",
1332,,,"Number never assigned",
1333,,,"Number never assigned",
1334,,,"Number never assigned",
1335,,,"Number never assigned",
1336,,,"Number never assigned",
1337,,,"Number never assigned",
1338,,,"Number never assigned",
1339,,,"Number never assigned",
1340,,,"Number never assigned",
1341,,,"Number never assigned",
1342,,,"Number never assigned",
1343,,,"Number never assigned",
1344,,,"Number never assigned",
1345,,,"Number never assigned",
1346,,,"Number never assigned",
1347,,,"Number never assigned",
1348,,,"Number never assigned",
1349,,,"Number never assigned",
1350,,,"Number never assigned",
1351,,,"Number never assigned",
1352,,,"Number never assigned",
1353,,,"Number never assigned",
1354,,,"Number never assigned",
1355,,,"Number never assigned",
1356,,,"Number never assigned",
1357,,,"Number never assigned",
1358,,,"Number never assigned",
1359,,,"Number never assigned",
1360,,,"Number never assigned",
1361,,,"Number never assigned",
1362,,,"Number never assigned",
1363,,,"Number never assigned",
1364,,,"Number never assigned",
1365,,,"Number never assigned",
1366,,,"Number never assigned",
1367,,,"Number never assigned",
1368,,,"Number never assigned",
1369,,,"Number never assigned",
1370,,,"Number never assigned",
1371,,,"Number never assigned",
1372,,,"Number never assigned",
1373,,,"Number never assigned",
1374,,,"Number never assigned",
1375,,,"Number never assigned",
1376,,,"Number never assigned",
1377,,,"Number never assigned",
1378,,,"Number never assigned",
1379,,,"Number never assigned",
1380,,,"Number never assigned",
1381,,,"Number never assigned",
1382,,,"Number never assigned",
1383,,,"Number never assigned",
1384,,,"Number never assigned",
1385,,,"Number never assigned",
1386,,,"Number never assigned",
1387,,,"Number never assigned",
1388,,,"Number never assigned",
1389,,,"Number never assigned",
1390,,,"Number never assigned",
1391,,,"Number never assigned",
1392,,,"Number never assigned",
1393,,,"Number never assigned",
1394,,,"Number never assigned",
1395,,,"Number never assigned",
1396,,,"Number never assigned",
1397,,,"Number never assigned",
1398,,,"Number never assigned",
1399,,,"Number never assigned",
1400,,,"Number never assigned",
1401,,,"Number never assigned",
1402,,,"Number never assigned",
1403,,,"Number never assigned",
1404,,,"Number never assigned",
1405,,,"Number never assigned",
1406,,,"Number never assigned",
1407,,,"Number never assigned",
1408,,,"Number never assigned",
1409,,,"Number never assigned",
1410,,,"Number never assigned",
1411,,,"Number never assigned",
1412,,,"Number never assigned",
1413,,,"Number never assigned",
1414,,,"Number never assigned",
1415,,,"Number never assigned",
1416,,,"Number never assigned",
1417,,,"Number never assigned",
1418,,,"Number never assigned",
1419,,,"Number never assigned",
1420,,,"Number never assigned",
1421,,,"Number never assigned",
1422,,,"Number never assigned",
1423,,,"Number never assigned",
1424,,,"Number never assigned",
1425,,,"Number never assigned",
1426,,,"Number never assigned",
1427,,,"Number never assigned",
1428,,,"Number never assigned",
1429,,,"Number never assigned",
1430,,,"Number never assigned",
1431,,,"Number never assigned",
1432,,,"Number never assigned",
1433,,,"Number never assigned",
1434,,,"Number never assigned",
1435,,,"Number never assigned",
1436,,,"Number never assigned",
1437,,,"Number never assigned",
1438,,,"Number never assigned",
1439,,,"Number never assigned",
1440,,,"Number never assigned",
1441,,,"Number never assigned",
1442,,,"Number never assigned",
1443,,,"Number never assigned",
1444,,,"Number never assigned",
1445,,,"Number never assigned",
1446,,,"Number never assigned",
1447,,,"Number never assigned",
1448,,,"Number never assigned",
1449,,,"Number never assigned",
1450,,,"Number never assigned",
1451,,,"Number never assigned",
1452,,,"Number never assigned",
1453,,,"Number never assigned",
1454,,,"Number never assigned",
1455,,,"Number never assigned",
1456,,,"Number never assigned",
1457,,,"Number never assigned",
1458,,,"Number never assigned",
1459,,,"Number never assigned",
1460,,,"Number never assigned",
1461,,,"Number never assigned",
1462,,,"Number never assigned",
1463,,,"Number never assigned",
1464,,,"Number never assigned",
1465,,,"Number never assigned",
1466,,,"Number never assigned",
1467,,,"Number never assigned",
1468,,,"Number never assigned",
1469,,,"Number never assigned",
1470,,,"Number never assigned",
1471,,,"Number never assigned",
1472,,,"Number never assigned",
1473,,,"Number never assigned",
1474,,,"Number never assigned",
1475,,,"Number never assigned",
1476,,,"Number never assigned",
1477,,,"Number never assigned",
1478,,,"Number never assigned",
1479,,,"Number never assigned",
1480,,,"Number never assigned",
1481,,,"Number never assigned",
1482,,,"Number never assigned",
1483,,,"Number never assigned",
1484,,,"Number never assigned",
1485,,,"Number never assigned",
1486,,,"Number never assigned",
1487,,,"Number never assigned",
1488,,,"Number never assigned",
1489,,,"Number never assigned",
1490,,,"Number never assigned",
1491,,,"Number never assigned",
1492,,,"Number never assigned",
1493,,,"Number never assigned",
1494,,,"Number never assigned",
1495,,,"Number never assigned",
1496,,,"Number never assigned",
1497,,,"Number never assigned",
1498,,,"Number never assigned",
1499,,,"Number never assigned",
1500,,,"Number never assigned",
1501,,,"Number never assigned",
1502,,,"Number never assigned",
1503,,,"Number never assigned",
1504,,,"Number never assigned",
1505,,,"Number never assigned",
1506,,,"Number never assigned",
1507,,,"Number never assigned",
1508,,,"Number never assigned",
1509,,,"Number never assigned",
1510,,,"Number never assigned",
1511,,,"Number never assigned",
1512,,,"Number never assigned",
1513,,,"Number never assigned",
1514,,,"Number never assigned",
1515,,,"Number never assigned",
1516,,,"Number never assigned",
1517,,,"Number never assigned",
1518,,,"Number never assigned",
1519,,,"Number never assigned",
1520,,,"Number never assigned",
1521,,,"Number never assigned",
1522,,,"Number never assigned",
1523,,,"Number never assigned",
1524,,,"Number never assigned",
1525,,,"Number never assigned",
1526,,,"Number never assigned",
1527,,,"Number never assigned",
1528,,,"Number never assigned",
1529,,,"Number never assigned",
1530,,,"Number never assigned",
1531,,,"Number never assigned",
1532,,,"Number never assigned",
1533,,,"Number never assigned",
1534,,,"Number never assigned",
1535,,,"Number never assigned",
1536,,,"Number never assigned",
1537,,,"Number never assigned",
1538,,,"Number never assigned",
1539,,,"Number never assigned",
1540,,,"Number never assigned",
1541,,,"Number never assigned",
1542,,,"Number never assigned",
1543,,,"Number never assigned",
1544,,,"Number never assigned",
1545,,,"Number never assigned",
1546,,,"Number never assigned",
1547,,,"Number never assigned",
1548,,,"Number never assigned",
1549,,,"Number never assigned",
1550,,,"Number never assigned",
1551,,,"Number never assigned",
1552,,,"Number never assigned",
1553,,,"Number never assigned",
1554,,,"Number never assigned",
1555,,,"Number never assigned",
1556,,,"Number never assigned",
1557,,,"Number never assigned",
1558,,,"Number never assigned",
1559,,,"Number never assigned",
1560,,,"Number never assigned",
1561,,,"Number never assigned",
1562,,,"Number never assigned",
1563,,,"Number never assigned",
1564,,,"Number never assigned",
1565,,,"Number never assigned",
1566,,,"Number never assigned",
1567,,,"Number never assigned",
1568,,,"Number never assigned",
1569,,,"Number never assigned",
1570,,,"Number never assigned",
1571,,,"Number never assigned",
1572,,,"Number never assigned",
1573,,,"Number never assigned",
1574,,,"Number never assigned",
1575,,,"Number never assigned",
1576,,,"Number never assigned",
1577,,,"Number never assigned",
1578,,,"Number never assigned",
1579,,,"Number never assigned",
1580,,,"Number never assigned",
1581,,,"Number never assigned",
1582,,,"Number never assigned",
1583,,,"Number never assigned",
1584,,,"Number never assigned",
1585,,,"Number never assigned",
1586,,,"Number never assigned",
1587,,,"Number never assigned",
1588,,,"Number never assigned",
1589,,,"Number never assigned",
1590,,,"Number never assigned",
1591,,,"Number never assigned",
1592,,,"Number never assigned",
1593,,,"Number never assigned",
1594,,,"Number never assigned",
1595,,,"Number never assigned",
1596,,,"Number never assigned",
1597,,,"Number never assigned",
1598,,,"Number never assigned",
1599,,,"Number never assigned",
1600,,,"Number never assigned",
1601,,,"Number never assigned",
1602,,,"Number never assigned",
1603,,,"Number never assigned",
1604,,,"Number never assigned",
1605,,,"Number never assigned",
1606,,,"Number never assigned",
1607,,,"Number never assigned",
1608,,,"Number never assigned",
1609,,,"Number never assigned",
1610,,,"Number never assigned",
1611,,,"Number never assigned",
1612,,,"Number never assigned",
1613,,,"Number never assigned",
1614,,,"Number never assigned",
1615,,,"Number never assigned",
1616,,,"Number never assigned",
1617,,,"Number never assigned",
1618,,,"Number never assigned",
1619,,,"Number never assigned",
1620,,,"Number never assigned",
1621,,,"Number never assigned",
1622,,,"Number never assigned",
1623,,,"Number never assigned",
1624,,,"Number never assigned",
1625,,,"Number never assigned",
1626,,,"Number never assigned",
1627,,,"Number never assigned",
1628,,,"Number never assigned",
1629,,,"Number never assigned",
1630,,,"Number never assigned",
1631,,,"Number never assigned",
1632,,,"Number never assigned",
1633,,,"Number never assigned",
1634,,,"Number never assigned",
1635,,,"Number never assigned",
1636,,,"Number never assigned",
1637,,,"Number never assigned",
1638,,,"Number never assigned",
1639,,,"Number never assigned",
1640,,,"Number never assigned",
1641,,,"Number never assigned",
1642,,,"Number never assigned",
1643,,,"Number never assigned",
1644,,,"Number never assigned",
1645,,,"Number never assigned",
1646,,,"Number never assigned",
1647,,,"Number never assigned",
1648,,,"Number never assigned",
1649,,,"Number never assigned",
1650,,,"Number never assigned",
1651,,,"Number never assigned",
1652,,,"Number never assigned",
1653,,,"Number never assigned",
1654,,,"Number never assigned",
1655,,,"Number never assigned",
1656,,,"Number never assigned",
1657,,,"Number never assigned",
1658,,,"Number never assigned",
1659,,,"Number never assigned",
1660,,,"Number never assigned",
1661,,,"Number never assigned",
1662,,,"Number never assigned",
1663,,,"Number never assigned",
1664,,,"Number never assigned",
1665,,,"Number never assigned",
1666,,,"Number never assigned",
1667,,,"Number never assigned",
1668,,,"Number never assigned",
1669,,,"Number never assigned",
1670,,,"Number never assigned",
1671,,,"Number never assigned",
1672,,,"Number never assigned",
1673,,,"Number never assigned",
1674,,,"Number never assigned",
1675,,,"Number never assigned",
1676,,,"Number never assigned",
1677,,,"Number never assigned",
1678,,,"Number never assigned",
1679,,,"Number never assigned",
1680,,,"Number never assigned",
1681,,,"Number never assigned",
1682,,,"Number never assigned",
1683,,,"Number never assigned",
1684,,,"Number never assigned",
1685,,,"Number never assigned",
1686,,,"Number never assigned",
1687,,,"Number never assigned",
1688,,,"Number never assigned",
1689,,,"Number never assigned",
1690,,,"Number never assigned",
1691,,,"Number never assigned",
1692,,,"Number never assigned",
1693,,,"Number never assigned",
1694,,,"Number never assigned",
1695,,,"Number never assigned",
1696,,,"Number never assigned",
1697,,,"Number never assigned",
1698,,,"Number never assigned",
1699,,,"Number never assigned",
1700,,,"Number never assigned",
1701,,,"Number never assigned",
1702,,,"Number never assigned",
1703,,,"Number never assigned",
1704,,,"Number never assigned",
1705,,,"Number never assigned",
1706,,,"Number never assigned",
1707,,,"Number never assigned",
1708,,,"Number never assigned",
1709,,,"Number never assigned",
1710,,,"Number never assigned",
1711,,,"Number never assigned",
1712,,,"Number never assigned",
1713,,,"Number never assigned",
1714,,,"Number never assigned",
1715,,,"Number never assigned",
1716,,,"Number never assigned",
1717,,,"Number never assigned",
1718,,,"Number never assigned",
1719,,,"Number never assigned",
1720,,,"Number never assigned",
1721,,,"Number never assigned",
1722,,,"Number never assigned",
1723,,,"Number never assigned",
1724,,,"Number never assigned",
1725,,,"Number never assigned",
1726,,,"Number never assigned",
1727,,,"Number never assigned",
1728,,,"Number never assigned",
1729,,,"Number never assigned",
1730,,,"Number never assigned",
1731,,,"Number never assigned",
1732,,,"Number never assigned",
1733,,,"Number never assigned",
1734,,,"Number never assigned",
1735,,,"Number never assigned",
1736,,,"Number never assigned",
1737,,,"Number never assigned",
1738,,,"Number never assigned",
1739,,,"Number never assigned",
1740,,,"Number never assigned",
1741,,,"Number never assigned",
1742,,,"Number never assigned",
1743,,,"Number never assigned",
1744,,,"Number never assigned",
1745,,,"Number never assigned",
1746,,,"Number never assigned",
1747,,,"Number never assigned",
1748,,,"Number never assigned",
1749,,,"Number never assigned",
1750,,,"Number never assigned",
1751,,,"Number never assigned",
1752,,,"Number never assigned",
1753,,,"Number never assigned",
1754,,,"Number never assigned",
1755,,,"Number never assigned",
1756,,,"Number never assigned",
1757,,,"Number never assigned",
1758,,,"Number never assigned",
1759,,,"Number never assigned",
1760,,,"Number never assigned",
1761,,,"Number never assigned",
1762,,,"Number never assigned",
1763,,,"Number never assigned",
1764,,,"Number never assigned",
1765,,,"Number never assigned",
1766,,,"Number never assigned",
1767,,,"Number never assigned",
1768,,,"Number never assigned",
1769,,,"Number never assigned",
1770,,,"Number never assigned",
1771,,,"Number never assigned",
1772,,,"Number never assigned",
1773,,,"Number never assigned",
1774,,,"Number never assigned",
1775,,,"Number never assigned",
1776,,,"Number never assigned",
1777,,,"Number never assigned",
1778,,,"Number never assigned",
1779,,,"Number never assigned",
1780,,,"Number never assigned",
1781,,,"Number never assigned",
1782,,,"Number never assigned",
1783,,,"Number never assigned",
1784,,,"Number never assigned",
1785,,,"Number never assigned",
1786,,,"Number never assigned",
1787,,,"Number never assigned",
1788,,,"Number never assigned",
1789,,,"Number never assigned",
1790,,,"Number never assigned",
1791,,,"Number never assigned",
1792,,,"Number never assigned",
1793,,,"Number never assigned",
1794,,,"Number never assigned",
1795,,,"Number never assigned",
1796,,,"Number never assigned",
1797,,,"Number never assigned",
1798,,,"Number never assigned",
1799,,,"Number never assigned",
1800,,,"Number never assigned",
1801,,,"Number never assigned",
1802,,,"Number never assigned",
1803,,,"Number never assigned",
1804,,,"Number never assigned",
1805,,,"Number never assigned",
1806,,,"Number never assigned",
1807,,,"Number never assigned",
1808,,,"Number never assigned",
1809,,,"Number never assigned",
1810,,,"Number never assigned",
1811,,,"Number never assigned",
1812,,,"Number never assigned",
1813,,,"Number never assigned",
1814,,,"Number never assigned",
1815,,,"Number never assigned",
1816,,,"Number never assigned",
1817,,,"Number never assigned",
1818,,,"Number never assigned",
1819,,,"Number never assigned",
1820,,,"Number never assigned",
1821,,,"Number never assigned",
1822,,,"Number never assigned",
1823,,,"Number never assigned",
1824,,,"Number never assigned",
1825,,,"Number never assigned",
1826,,,"Number never assigned",
1827,,,"Number never assigned",
1828,,,"Number never assigned",
1829,,,"Number never assigned",
1830,,,"Number never assigned",
1831,,,"Number never assigned",
1832,,,"Number never assigned",
1833,,,"Number never assigned",
1834,,,"Number never assigned",
1835,,,"Number never assigned",
1836,,,"Number never assigned",
1837,,,"Number never assigned",
1838,,,"Number never assigned",
1839,,,"Number never assigned",
1840,,,"Number never assigned",
1841,,,"Number never assigned",
1842,,,"Number never assigned",
1843,,,"Number never assigned",
1844,,,"Number never assigned",
1845,,,"Number never assigned",
1846,,,"Number never assigned",
1847,,,"Number never assigned",
1848,,,"Number never assigned",
1849,,,"Number never assigned",
1850,,,"Number never assigned",
1851,,,"Number never assigned",
1852,,,"Number never assigned",
1853,,,"Number never assigned",
1854,,,"Number never assigned",
1855,,,"Number never assigned",
1856,,,"Number never assigned",
1857,,,"Number never assigned",
1858,,,"Number never assigned",
1859,,,"Number never assigned",
1860,,,"Number never assigned",
1861,,,"Number never assigned",
1862,,,"Number never assigned",
1863,,,"Number never assigned",
1864,,,"Number never assigned",
1865,,,"Number never assigned",
1866,,,"Number never assigned",
1867,,,"Number never assigned",
1868,,,"Number never assigned",
1869,,,"Number never assigned",
1870,,,"Number never assigned",
1871,,,"Number never assigned",
1872,,,"Number never assigned",
1873,,,"Number never assigned",
1874,,,"Number never assigned",
1875,,,"Number never assigned",
1876,,,"Number never assigned",
1877,,,"Number never assigned",
1878,,,"Number never assigned",
1879,,,"Number never assigned",
1880,,,"Number never assigned",
1881,,,"Number never assigned",
1882,,,"Number never assigned",
1883,,,"Number never assigned",
1884,,,"Number never assigned",
1885,,,"Number never assigned",
1886,,,"Number never assigned",
1887,,,"Number never assigned",
1888,,,"Number never assigned",
1889,,,"Number never assigned",
1890,,,"Number never assigned",
1891,,,"Number never assigned",
1892,,,"Number never assigned",
1893,,,"Number never assigned",
1894,,,"Number never assigned",
1895,,,"Number never assigned",
1896,,,"Number never assigned",
1897,,,"Number never assigned",
1898,,,"Number never assigned",
1899,,,"Number never assigned",
1900,,,"Number never assigned",
1901,,,"Number never assigned",
1902,,,"Number never assigned",
1903,,,"Number never assigned",
1904,,,"Number never assigned",
1905,,,"Number never assigned",
1906,,,"Number never assigned",
1907,,,"Number never assigned",
1908,,,"Number never assigned",
1909,,,"Number never assigned",
1910,,,"Number never assigned",
1911,,,"Number never assigned",
1912,,,"Number never assigned",
1913,,,"Number never assigned",
1914,,,"Number never assigned",
1915,,,"Number never assigned",
1916,,,"Number never assigned",
1917,,,"Number never assigned",
1918,,,"Number never assigned",
1919,,,"Number never assigned",
1920,,,"Number never assigned",
1921,,,"Number never assigned",
1922,,,"Number never assigned",
1923,,,"Number never assigned",
1924,,,"Number never assigned",
1925,,,"Number never assigned",
1926,,,"Number never assigned",
1927,,,"Number never assigned",
1928,,,"Number never assigned",
1929,,,"Number never assigned",
1930,,,"Number never assigned",
1931,,,"Number never assigned",
1932,,,"Number never assigned",
1933,,,"Number never assigned",
1934,,,"Number never assigned",
1935,,,"Number never assigned",
1936,,,"Number never assigned",
1937,,,"Number never assigned",
1938,,,"Number never assigned",
1939,,,"Number never assigned",
1940,,,"Number never assigned",
1941,,,"Number never assigned",
1942,,,"Number never assigned",
1943,,,"Number never assigned",
1944,,,"Number never assigned",
1945,,,"Number never assigned",
1946,,,"Number never assigned",
1947,,,"Number never assigned",
1948,,,"Number never assigned",
1949,,,"Number never assigned",
1950,,,"Number never assigned",
1951,,,"Number never assigned",
1952,,,"Number never assigned",
1953,,,"Number never assigned",
1954,,,"Number never assigned",
1955,,,"Number never assigned",
1956,,,"Number never assigned",
1957,,,"Number never assigned",
1958,,,"Number never assigned",
1959,,,"Number never assigned",
1960,,,"Number never assigned",
1961,,,"Number never assigned",
1962,,,"Number never assigned",
1963,,,"Number never assigned",
1964,,,"Number never assigned",
1965,,,"Number never assigned",
1966,,,"Number never assigned",
1967,,,"Number never assigned",
1968,,,"Number never assigned",
1969,,,"Number never assigned",
1970,,,"Number never assigned",
1971,,,"Number never assigned",
1972,,,"Number never assigned",
1973,,,"Number never assigned",
1974,,,"Number never assigned",
1975,,,"Number never assigned",
1976,,,"Number never assigned",
1977,,,"Number never assigned",
1978,,,"Number never assigned",
1979,,,"Number never assigned",
1980,,,"Number never assigned",
1981,,,"Number never assigned",
1982,,,"Number never assigned",
1983,,,"Number never assigned",
1984,,,"Number never assigned",
1985,,,"Number never assigned",
1986,,,"Number never assigned",
1987,,,"Number never assigned",
1988,,,"Number never assigned",
1989,,,"Number never assigned",
1990,,,"Number never assigned",
1991,,,"Number never assigned",
1992,,,"Number never assigned",
1993,,,"Number never assigned",
1994,,,"Number never assigned",
1995,,,"Number never assigned",
1996,,,"Number never assigned",
1997,,,"Number never assigned",
1998,,,"Number never assigned",
1999,,,"Number never assigned",
2000,98,,,"B2.5"
2001,98,,,"B2.5"
2002,98,,,"B2.5"
2003,98,,,"B2.5"
2004,98,,,"B2.5"
2005,98,,,"B2.5"
2006,90,,,"B2.5"
2007,98,,,"B2.5"
2008,98,,,"B2.5"
2009,90,,,"B2.5"
2010,30,,"Wall, aligned NNE/SSW","B2.6"
2011,30,"+","Trench either Foundation or Robber","B2.6"
2012,30,,"Wall foundation","B2.6"
2013,30,6,"Gully aligned W/E","B2.6"
2014,30,"8,10,11,15-6","Small informal hearth/pit","B2.6"
2015,30,9,"Beam slot aligned NE/SW","B2.6"
2016,30,9,"Posthole","B2.6"
2017,30,9,"Posthole","B2.6"
2018,30,9,"Posthole","B2.6"
2019,30,"13-4","pit","B2.6"
2020,30,"23, 64-67","pit","B2.6"
2021,30,24,"Posthole","B2.6"
2022,30,"34, 43","latrine pit","B2.6"
2023,30,44,"Posthole","B2.6"
2024,30,42,"Beam slot aligned WNW/ESE","B2.6"
2025,30,45,"Ditch aligned N/S","B2.6"
2026,30,47,"Gully/slot","B2.6"
2027,30,48,"Gully/slot","B2.6"
2028,30,49,"Slot aligned W/E","B2.6"
2029,30,50,"Stakehole","B2.6"
2030,30,69,"Slot aligned W/E","B2.6"
2031,30,52,"slot aligned NNE/SSW","B2.6"
2032,30,"38, 53","slot aligned WNW/ESE","B2.6"
2033,30,51,"slot aligned WNW/ESE","B2.6"
2034,30,54,"slot aligned NNE/SSW","B2.6"
2035,30,56,"slot aligned Ne/sw","B2.6"
2036,30,57,"slot [end]","B2.6"
2037,30,58,"slot aligned wnw/ese","B2.6"
2038,30,"32,37","Slot aligned NW/SE","B2.6"
2039,30,33,"Posthole","B2.6"
2040,30,55,"Trench ? Foundation trench for piscina","B2.6"
2041,30,31,"Posthole","B2.6"
2042,30,"29,30","Posthole","B2.6"
2043,30,28,"Posthole/Stakehole","B2.6"
2044,30,70,"Posthole","B2.6"
2045,30,71,"Posthole","B2.6"
2046,30,59,"Posthole","B2.6"
2047,30,60,"Posthole","B2.6"
2048,30,61,"Posthole","B2.6"
2049,9,24,"informal hearth/pit","B2.6"
2050,9,25,"informal hearth/pit","B2.6"
2051,9,26,"informal hearth/pit","B2.6"
2052,4,38,"Posthole","B2.6"
2053,4,"36, 40, 45, 60","Slot aligned N/S","B2.6"
2054,4,"39, 46, 51","Slot aligned W/E","B2.6"
2055,4,49,"Posthole","B2.6"
2056,5,50,"slot aligned N/S","B2.6"
2057,4,53,"pit","B2.6"
2058,4,"35, 52","pit","B2.6"
2059,4,41,"Posthole","B2.6"
2060,4,42,"Posthole","B2.6"
2061,4,54,"slot aligned N/S","B2.6"
2062,4,55,"Posthole","B2.6"
2063,4,56,"Posthole","B2.6"
